User,Comment
RS Sujat,Super Bor you have a great
Musawir Zaman Shaikh,When you will visit Pakistan 🇵🇰?
MD T4nzid,Czn burak and salt bae worthit na....amra czn buran e just kichu snacks nisi and 17k taka ashse
bibi asma,Choto Bhai agola amaro khaite monchay kinto Ami khaite parina
Monem Azhar Anik,"Bro you didn’t even eat the same food at both restaurants.
Do another video trying similar food."
Shahriar Iqbal,How you could compare with two different menu?? Comparison should be apple to apple
AHMED REZAUL HOSSAIN,Bideshe giye gorib Howard feelings ta bujhtesen
RF ANIK,burak best
Ami Tomak Pelei Hobe,Rafsan the voutto
Shamshun NaharSC,Please bring gold from Arab Khan shop...
Suhan Ahmed,"এত টাকা দিয়ে সামান্য একটা জিনিস অর্ধ লক্ষ  টাকা দিয়ে না খেয়ে, গরি অসহায় দের দিলে অনেক ভালো হত"
Aahil sun,SALT BAE ভাই এর restraunt
Chandpuri Vlog's,
Tanvir Hasan,"Salt bae,i think..cause u put it above cn"
shanta shaiontony,"Rafsan, er chea to khulna'r hotel er khabar moja mone hosce."
Gigafunny,Only Only fans ppl and instagrammers ppl spending thier money like this way...
Mubin Hw,"take love, my love <3"
Yeamin Shahrear,You are super
JANNATUL FARDUS,in 55 thousand taka you can buy 1 whole cow
Kper1gamer1,Bhai you from Dhaka I'm from Bangladesh I'm from chandpur
Fabiha Ashrafi Esha,Woahhhh the thumbnail looks mind-blowing
Nurshad jgg,Alhamdrallah
I`M SOJIB,"LOVE U VAI,️️️"
Ahmed Faruk,Rafsan Bhai
SVT 💎mingyu's wife💜,Pls go to south Korea 🇰🇷
Ar:Arfin Rumey,
jannatulmawa,I think CZN Burak is better
Mahin Gamer,"CZN Burak Cheaper Than Salt Bae Also Has Good Experience Than Salt Bae Like Sometimes Salt Bae's Waiter Goes Crazy Showing Their Experience But The Seasoning Of CZN Burak Is Good Because In Salt Bae Theyll Just Sprinkle Some Salt On Your Steak Nothing More 55,000 Taka For This Stupid Experience Czn Burak Is Lot Better"
I love Islam Al-amin Vai,
Mr. Techative,"The ""STeAKES"" are high!"
obito sama,Haigen na vai
Saeed Hasan,At last you have given some respect to them. Last time you have disrespected borak. Food is not only about taste. Its a art also and Continental food usually dont have much spices as we used to like.
Rokib Hasan Bulbul,I'm your first viewer
Rj Vadima Ltd,Vaiya 55000 tk deya apni bangladesh a akta gota goru kinta parban
Shafi Legend World,"এই বারে ,,,  এত টাকা কোথায় পেলে"
AvoyKumar Dey,Watching RTCB video in YouTube and not in Facebook after age's
Cute BG,Finally new video
Rashed Khan.206k view.3 hour ago,Lol
Ayesha Tripty,Alhamdulillah
Nayon Official,Maybe ajkeo reply ta pabo nh! . By the way biggest fan
AbrarFLM,5:23
Learn & Earn Global,14 হাজার টাকা দিয়ে চৌদ্দ গুস্টি ধুমধাম করে খাইতে পারতাম
Ahsan Habib,Gold eating gold:
Marvel Lover,Bro..tumi na Bangladesh a..tumar last video to chilo Dhaka y..then..???
akmrafiqul hasan,Big fan
Arjun Singh,Jai shri ram
Abdullah Al Mahamud,
Ahmed Faruk,You are the best
ZAGRONN,Nusret & CZN Burak is both KURDISH
drabirr the chotobhai,"But 55,000tk diya experience na bhai na
ato dimu na experience er jonno"
Explore nature with me,Great
Marlesden,That steak was not medium rare lmao
SOHAN GAMING,120-150 kaccii 30-50 borhani its me
32hsc23organic bio,8:58
Yvonne,First ️ vai plz reply
Ahmed Faruk,Oi Rafsan Bhai?
Taskil Islam,"প্রায় 55,000 টাকা দিয়ে একটা গরু পাওয়া যায়"
Rafid,Last words mean a lot
redwan khan,Bro meat ta ki Allah-ar name qurbanj kora chili?
Cox gaming yt,Nice
iSmAiL KhAN,Nice
General Fuad,Assault bae
Techie Gamer,So you're 25 yrs old guy
PALASHBARI THUNDER'S,"I am the big fan of urs
Plz rply me"
Kanack 006t,
Reza Chawdhury,world class bro love u.️
Black Esports,Salt be give you more importent over czn burak so thats why you choose salt be
Habibur Rahman,saltbae v/s hells kitchen
Ratul the ChotoBhai,Heyy bosss
§@¡‡@m@░㉩ㅹ,ALLAH ke alada dhonnobad den. ALLAH ar manushder ekshathe dhonnobad diyen na
Study Vlogs,great
Riza Khan,তোমার দ্বারায় সম্ভব
Atahar Nur,wow Gucci wallet
Ankush Fan,Congratulations
Rahat Arefin Jumon,ভালোবাসা নিও তোমার সব ভিডিও দেখি আমি
Sabbir Islam Srabon,বরো ভাই দয়া করে যদি ইকটু পাসে থাকতেন  Plz vi
MistryCatO_O,"I mean u paid 50000/- for a steak
So it should be more than home"
Utso Op,"হাগার পর সোনা গুলা নিয়ে 
বিক্রি করে টাকা গুলা নিয়ে নিয়েন"
Iftekhar Uddin,In my opinion CZN BURAK is the best
MD.Alomgir Khan,"ছোট ভাই রাফসান তুমি এক কাজ করো বাংলাদেশে ব্লংগ না করে বাহিরে গিয়ে ব্লংগ করো কারণ, তুমি যে পরিমাণে ইংরেজিতে কথা বলতেছো ভিডিও দেখে মনে হয় না বাংলাদেশ থেকে আমরা কেউ ভিডিও দেখি"
kabir Sujan,joss
Md. Ashiqul Islam Peal,Haram Roohafza!!!hehe
Froxer 古冬,Triple viewer bro
কালাচাঁন,৫৫০০০ হাজারে একটা গরু পাইতাম তাও পুরাই কচি
MC Stan,love for tangail
Ahmmad tanvir,Smart rafsan smart conten creator
Md. Zunaid Tausif,"Oishob Chittagong mejban fejban USA, UK te ase . Keu bell dei na. Czn and Nusrats are worlds best"
Tamim Bin Salim,Yup Chittagonian mejban is best
Md Yaqub Ali Business,
Ahmed Istiaque,"Bodda, ebar Gordon Ramsay er restaurant ae Jao"
Emu sabbir,টাকা যেখানে হাতের ময়লা
Tanaj Ali,Whoooo
Fahim Montassir,সমস্যা নাই তুমিও একদিন ইউটিউব এর টাকায় রোলস্ রোয়েস নিয়ে যেতে পারবা।
BTS ARMY,rafsan plz tell me.ur favt song
Fahim Hasan,"Bangladesh e ashle kindly amar basay ese toilet kore jaba vhai , gold gula collect korbo"
Shaimun 143,czn Burak
H JOBAYER AHMED SAMY,আমাকে নিয়ে যাইতে পারতাম কিন্তু ️️️
Kaniz Fatema,"Lamb মানে ভেড়া, খাসি কে কি আপনারা lamb বলেন"
Saima Nasreen,সবাই দামি গাড়িতে গেলে আর আপনারা ট্যাক্সিতে গেলে মান ইজ্জত যাওয়ার কি আছে?
Tanzanite gaming,
Emdad creations,এসব খাবারের স্বাদ কম নাটক বেশি
Monira Islam,Love you baby
BTS ARMY,rafsan plz coming cumilla
San Emi Yoichi,Vai Pakistaner lahore jao
she.....,
poggyi,Salt bae doesn't have good reputation from what I saw on other YouTuber
Mohammad Arif,nice
XREY.1,
Jubaer Hossain,Bhai intro er voice ta emon ken? Normally kotha bolle e toh pare
Yeasin's Short's,"রাফসান ভাই আমাকে ৫০০০ টাকা দিও । 
দুটো ডাল ভাত খাবো"
Ariful Haque,Bro i just click this video randomly & this happend
Hassan @10,Hassan  Hiii
Habibur rahamn,প্রথম কমেন্ট ভাইয়া রিপলাই চাই
Sefat ullah Sefuda official,"Bai taxi call koro nai ata awesome hoyece, ami o aai rokom kori"
Ziaurrahman Tanjib,people who has no place to spend money it is place for him.
Suad Islam Alif,hoy Nadir on the go bhai er moton kore english a full video koren r na hoy banglay koren 2ta mixed koren kn bhai
Foysal Mridha,CZN Burak
Rasel Adnan,আমাদের মিডিয়াম রেঞ্চার ইনকাম যারা করি তাদের এক মাসের বেতন আপনি একবেলায় খেয়ে আসলেন
Tahin Tahin,55 হাজার টাকা গোল্ড স্টিক  খাবার কোন দরকার আছে তুমি মনে হয় পাগল ভাইয়া 55 হাজার টাকায় আমরা কত কিছু করতাম
Mahmudur Redowan,"Bro believe me, people hate you or not,from our country your content i only  international level content."
Ahmed Faruk,
MT♥,Wow
Mostofa Mollik,Wow
Mahir Faysal,Wow
DSA.GORIBER VLOG,Wow
I`M SOJIB,ভাই বিক ফ্যান
Bal Pakna,"Bhi apnar video deikha j khida laiga gelo akn amr kase to tk nai, er daitto ke nibo?"
Dialog TikTok ♥️,Rafsan vai support koro
Farjana jahan Rimi,Rafsan vaiyar potir shate gold ber hobe
rabbi sarkar,With korta celam  vloge tar jonno
Mahdi Hasan,55000 diya ekta goru kinna khaitam pari bd te
Creative Tech Squad,"Ei ta kono comparison hoilo??
Ekta khaila torkari, arekta te khaila stake.
2ta te same jinish khaiya comparison kora hoile oita right hoito."
RAFI RASHED ABRAR ROSE,"its better if u talk in bengali rather thn speaking english , and iknow u peak english to target the foreign audience , u may speak english but bengalis percentage should be greater , not tht i dont understand english."
MD zaber Sr,Love you
Fabiha Ashrafi Esha,First
Arman Shikder,Fist comment wow
no name,Chittagong er mejban manei onno rokom kicu
Mahmudur Rahman,ভাই আপনি বেশি ইংলিশ কথা বলেন কেন আপনি বাংলা কথায় বলেন
Rabeya Sumi,এখানে  Mr beast থাকে
ashraful shakib,"It's only just Brand value and that i have money to spend 
Crazy people..."
Alomgir Hossain,55 হাজার টাকায় একটা গরু খাওয়া যায়
Nirjhar Roy Majumder,CZN Burak er main chef...tar naki cancer hoyeche.. sunechilam
Captain Jack Sparrow,Where is he??
Manzurul Islam,ছোট ভাই! সত্যি সত্যিই সোনা খাওয়াচ্ছে? সোনার ভেতরে লাল মাংস!!! কি কাণ্ড!
Almila Ella,According to me CZN Burak always kind n better than Salt bay.
Md. Asadur Rahman,রাতে আলু ভর্তা দিয়ে ভাত খাইছি তাও ডাল ছাড়া!
S PRO BD,তোমার ভিডিও দেখে ফিল নিলাম!
DIDARÚL JÍDAN,বাংলা বলো না কেননা রাফছান 🇧🇩
spongebob squarepants,.half bangla half English hoile international audience ashbe na.. Banglai kotha bolle english subtitle lagai diyen ar jekhane English bolben okane bangla subtitle diben..jate shobai bujhe
maheer ahmed,"আমার কাছে পারসোনালি মনে হয়, টাকায় হিসাব করাটা অনুচিত। সেখানকার টাকার মান অনুযায়ী দাম ইকনোমি চলে, হয়তো সেভাবে হিসাব করলে আমাদের টাকায় ৫০০০-১০০০০  টাকার সমান। আমার পারসোনাল ধারণা৷"
Gaming Mehbub YT,
Info and Info TV,সল্ট ভাই ফা ল তু।।
Tahsan Afridi,Vai akta goru pawa jaito 50 k dia
Muneerul Alam,️️️
Khan Mahamud,ভাই আপনার সাথে দেখা করা জাবে
